destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord,Cluster,PC1,PC2
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,1,0,0,0,0,0,1,2,1,7,7,4,1,-1.6634694403956587,2.4891342424333374
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,0,0,1,1,0,0,1,2,1,7,7,4,1,-1.6634694403956587,2.4891342424333374
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Married partner,1,Bachelors degree,Retired,$87500 - $99999,never,never,less1,1~3,less1,1,1,0,0,0,0,1,2,1,7,7,4,1,-1.6634694403956587,2.4891342424333374
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,26,Unmarried partner,0,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1,0,0,0,0,0,2,2,2,1,2,4,3,2,-0.6758819008235765,-0.1445600595114131
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,26,Unmarried partner,0,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1,1,0,0,1,0,2,2,2,1,2,4,3,2,-0.6758819008235765,-0.1445600595114131
Home,Alone,Sunny,55,6PM,1d,Female,26,Unmarried partner,0,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1,0,0,1,1,0,2,2,2,1,2,4,3,2,-0.6758819008235765,-0.1445600595114131
Work,Alone,Sunny,55,7AM,1d,Female,26,Unmarried partner,0,Associates degree,Community & Social Services,$50000 - $62499,never,1~3,1~3,1~3,less1,1,1,0,1,0,2,2,2,1,2,4,3,2,-0.6758819008235765,-0.1445600595114131
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,Bachelors degree,Office & Administrative Support,$37500 - $49999,1~3,less1,4~8,1~3,less1,0,0,0,0,2,1,3,2,1,1,3,4,2,0.16657953103219356,-0.437690113271525
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,Bachelors degree,Office & Administrative Support,$37500 - $49999,1~3,less1,4~8,1~3,less1,0,0,1,0,2,1,3,2,1,1,3,4,2,0.16657953103219356,-0.437690113271525
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,Bachelors degree,Office & Administrative Support,$37500 - $49999,1~3,less1,4~8,1~3,less1,1,1,0,0,2,1,3,2,1,1,3,4,2,0.16657953103219356,-0.437690113271525
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,0,0,0,0,2,3,3,3,3,3,4,5,0,2.5613383472068825,0.6896286516656885
Home,Alone,Sunny,55,6PM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,0,0,1,1,2,3,3,3,3,3,4,5,0,2.5613383472068825,0.6896286516656885
Work,Alone,Sunny,55,7AM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Life Physical Social Science,$50000 - $62499,1~3,4~8,4~8,4~8,4~8,1,1,0,1,2,3,3,3,3,3,4,5,0,2.5613383472068825,0.6896286516656885
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,0,0,0,0,1,1,2,3,1,1,6,4,3,0.13054557497656286,0.5570028398041872
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,1,0,0,1,1,1,2,3,1,1,6,4,3,0.13054557497656286,0.5570028398041872
Home,Alone,Sunny,55,6PM,1d,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,0,0,1,1,1,1,2,3,1,1,6,4,3,0.13054557497656286,0.5570028398041872
Work,Alone,Sunny,55,7AM,1d,Male,21,Married partner,0,Bachelors degree,Architecture & Engineering,$75000 - $87499,less1,less1,1~3,4~8,less1,1,1,0,0,1,1,2,3,1,1,6,4,3,0.13054557497656286,0.5570028398041872
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,less1,less1,1~3,4~8,less1,1,0,0,0,1,1,2,3,1,4,7,5,3,0.18853607164657,1.9341586964740933
Home,Alone,Sunny,55,6PM,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,less1,less1,1~3,4~8,less1,0,0,1,0,1,1,2,3,1,4,7,5,3,0.18853607164657,1.9341586964740933
Work,Alone,Sunny,55,7AM,1d,Female,36,Married partner,1,Graduate degree (Masters or Doctorate),Healthcare Practitioners & Technical,$87500 - $99999,less1,less1,1~3,4~8,less1,1,1,0,0,1,1,2,3,1,4,7,5,3,0.18853607164657,1.9341586964740933
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,31,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,never,1~3,never,never,1,0,0,0,0,0,2,0,0,3,2,4,2,-3.097520148509263,0.17636672332833528
Home,Alone,Sunny,55,6PM,1d,Female,31,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,never,1~3,never,never,0,0,1,0,0,0,2,0,0,3,2,4,2,-3.097520148509263,0.17636672332833528
Work,Alone,Sunny,55,7AM,1d,Female,31,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,never,1~3,never,never,1,1,0,0,0,0,2,0,0,3,2,4,2,-3.097520148509263,0.17636672332833528
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,50plus,Divorced,1,Graduate degree (Masters or Doctorate),Retired,$12500 - $24999,1~3,4~8,4~8,4~8,less1,0,0,0,0,2,3,3,3,1,7,1,5,0,1.2072566564603,0.7463744345569271
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Divorced,1,Graduate degree (Masters or Doctorate),Retired,$12500 - $24999,1~3,4~8,4~8,4~8,less1,0,0,1,1,2,3,3,3,1,7,1,5,0,1.2072566564603,0.7463744345569271
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Divorced,1,Graduate degree (Masters or Doctorate),Retired,$12500 - $24999,1~3,4~8,4~8,4~8,less1,1,1,0,1,2,3,3,3,1,7,1,5,0,1.2072566564603,0.7463744345569271
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,50plus,Unmarried partner,0,Bachelors degree,Retired,$100000 or More,never,never,1~3,gt8,never,0,0,0,0,0,0,2,4,0,7,8,4,3,-0.5365494852952972,2.534547627716873
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,50plus,Unmarried partner,0,Bachelors degree,Retired,$100000 or More,never,never,1~3,gt8,never,1,0,0,0,0,0,2,4,0,7,8,4,3,-0.5365494852952972,2.534547627716873
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Unmarried partner,0,Bachelors degree,Retired,$100000 or More,never,never,1~3,gt8,never,0,0,1,0,0,0,2,4,0,7,8,4,3,-0.5365494852952972,2.534547627716873
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Unmarried partner,0,Bachelors degree,Retired,$100000 or More,never,never,1~3,gt8,never,1,1,0,0,0,0,2,4,0,7,8,4,3,-0.5365494852952972,2.534547627716873
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,less1,1~3,gt8,4~8,1~3,0,0,0,0,1,2,4,3,2,3,6,2,0,1.6972325012314882,-0.2805856903001188
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,less1,1~3,gt8,4~8,1~3,1,0,0,1,1,2,4,3,2,3,6,2,0,1.6972325012314882,-0.2805856903001188
Home,Alone,Sunny,55,6PM,1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,less1,1~3,gt8,4~8,1~3,0,0,1,1,1,2,4,3,2,3,6,2,0,1.6972325012314882,-0.2805856903001188
Work,Alone,Sunny,55,7AM,1d,Female,31,Unmarried partner,0,Some college - no degree,Office & Administrative Support,$75000 - $87499,less1,1~3,gt8,4~8,1~3,1,1,0,0,1,2,4,3,2,3,6,2,0,1.6972325012314882,-0.2805856903001188
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,1~3,gt8,4~8,less1,1,0,0,0,0,2,4,3,1,5,2,2,1,0.5292243563801872,-0.6942105375778764
Home,Alone,Sunny,55,6PM,1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,1~3,gt8,4~8,less1,0,0,1,0,0,2,4,3,1,5,2,2,1,0.5292243563801872,-0.6942105375778764
Work,Alone,Sunny,55,7AM,1d,Male,41,Married partner,1,Some college - no degree,Arts Design Entertainment Sports & Media,$25000 - $37499,never,1~3,gt8,4~8,less1,1,1,0,0,0,2,4,3,1,5,2,2,1,0.5292243563801872,-0.6942105375778764
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,never,less1,4~8,1~3,less1,1,0,0,0,0,1,3,2,1,5,6,3,3,-0.5143599691905202,0.9304441314877546
Home,Alone,Sunny,55,6PM,1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,never,less1,4~8,1~3,less1,0,0,1,0,0,1,3,2,1,5,6,3,3,-0.5143599691905202,0.9304441314877546
Work,Alone,Sunny,55,7AM,1d,Female,41,Married partner,1,Associates degree,Unemployed,$75000 - $87499,never,less1,4~8,1~3,less1,1,1,0,0,0,1,3,2,1,5,6,3,3,-0.5143599691905202,0.9304441314877546
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,less1,1~3,1~3,less1,less1,1,0,0,0,1,2,2,1,1,4,7,4,3,-0.7072805690054471,1.3144309924581015
Home,Alone,Sunny,55,6PM,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,less1,1~3,1~3,less1,less1,0,0,1,0,1,2,2,1,1,4,7,4,3,-0.7072805690054471,1.3144309924581015
Work,Alone,Sunny,55,7AM,1d,Female,36,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,less1,1~3,1~3,less1,less1,1,1,0,0,1,2,2,1,1,4,7,4,3,-0.7072805690054471,1.3144309924581015
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,0,0,0,0,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,1,0,0,1,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
Home,Alone,Sunny,55,6PM,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,0,0,1,0,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
Work,Alone,Sunny,55,7AM,1d,Female,31,Married partner,0,Some college - no degree,Computer & Mathematical,$100000 or More,less1,less1,gt8,4~8,less1,1,1,0,0,1,1,4,3,1,3,8,2,3,0.9495403144884864,0.20228504555426646
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,gt8,4~8,gt8,4~8,1,0,0,1,2,4,3,4,3,2,8,4,0,3.659158156290893,0.8296501789954749
Home,Alone,Sunny,55,6PM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,gt8,4~8,gt8,4~8,0,0,1,1,2,4,3,4,3,2,8,4,0,3.659158156290893,0.8296501789954749
Work,Alone,Sunny,55,7AM,1d,Male,26,Married partner,1,Bachelors degree,Computer & Mathematical,$100000 or More,1~3,gt8,4~8,gt8,4~8,1,1,0,1,2,4,3,4,3,2,8,4,0,3.659158156290893,0.8296501789954749
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,below21,Single,0,Some college - no degree,Student,$62500 - $74999,never,1~3,1~3,never,1~3,0,0,0,1,0,2,2,0,2,0,5,2,2,-1.2562796198976056,-0.8085959884532501
Home,Alone,Sunny,55,6PM,1d,Male,below21,Single,0,Some college - no degree,Student,$62500 - $74999,never,1~3,1~3,never,1~3,0,0,1,1,0,2,2,0,2,0,5,2,2,-1.2562796198976056,-0.8085959884532501
Work,Alone,Sunny,55,7AM,1d,Male,below21,Single,0,Some college - no degree,Student,$62500 - $74999,never,1~3,1~3,never,1~3,1,1,0,0,0,2,2,0,2,0,5,2,2,-1.2562796198976056,-0.8085959884532501
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Sales & Related,$12500 - $24999,less1,4~8,4~8,1~3,never,0,0,0,1,1,3,3,2,0,2,1,5,2,-0.11734271649613869,-0.3364835425278674
Home,Alone,Sunny,55,6PM,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Sales & Related,$12500 - $24999,less1,4~8,4~8,1~3,never,0,0,1,0,1,3,3,2,0,2,1,5,2,-0.11734271649613869,-0.3364835425278674
Work,Alone,Sunny,55,7AM,1d,Male,26,Single,0,Graduate degree (Masters or Doctorate),Sales & Related,$12500 - $24999,less1,4~8,4~8,1~3,never,1,1,0,0,1,3,3,2,0,2,1,5,2,-0.11734271649613869,-0.3364835425278674
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,50plus,Widowed,0,Some college - no degree,Construction & Extraction,Less than $12500,never,never,less1,1~3,less1,0,0,0,0,0,0,1,2,1,7,0,2,1,-2.2331587706972247,-0.07079822585989032
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Widowed,0,Some college - no degree,Construction & Extraction,Less than $12500,never,never,less1,1~3,less1,0,0,1,0,0,0,1,2,1,7,0,2,1,-2.2331587706972247,-0.07079822585989032
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Widowed,0,Some college - no degree,Construction & Extraction,Less than $12500,never,never,less1,1~3,less1,1,1,0,0,0,0,1,2,1,7,0,2,1,-2.2331587706972247,-0.07079822585989032
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,50plus,Unmarried partner,1,Associates degree,Retired,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,0,0,0,3,3,2,1,7,4,3,1,-0.02220050255190264,0.72126430323258
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,50plus,Unmarried partner,1,Associates degree,Retired,$50000 - $62499,never,4~8,4~8,1~3,less1,1,0,0,0,0,3,3,2,1,7,4,3,1,-0.02220050255190264,0.72126430323258
Home,Alone,Sunny,55,6PM,1d,Male,50plus,Unmarried partner,1,Associates degree,Retired,$50000 - $62499,never,4~8,4~8,1~3,less1,0,0,1,0,0,3,3,2,1,7,4,3,1,-0.02220050255190264,0.72126430323258
Work,Alone,Sunny,55,7AM,1d,Male,50plus,Unmarried partner,1,Associates degree,Retired,$50000 - $62499,never,4~8,4~8,1~3,less1,1,1,0,0,0,3,3,2,1,7,4,3,1,-0.02220050255190264,0.72126430323258
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,21,Unmarried partner,0,High School Graduate,Student,$37500 - $49999,never,1~3,1~3,4~8,never,0,0,0,0,0,2,2,3,0,1,3,1,2,-0.8202006487909644,-1.6044734198306354
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,21,Unmarried partner,0,High School Graduate,Student,$37500 - $49999,never,1~3,1~3,4~8,never,1,0,0,0,0,2,2,3,0,1,3,1,2,-0.8202006487909644,-1.6044734198306354
Home,Alone,Sunny,55,6PM,1d,Female,21,Unmarried partner,0,High School Graduate,Student,$37500 - $49999,never,1~3,1~3,4~8,never,0,0,1,0,0,2,2,3,0,1,3,1,2,-0.8202006487909644,-1.6044734198306354
Work,Alone,Sunny,55,7AM,1d,Female,21,Unmarried partner,0,High School Graduate,Student,$37500 - $49999,never,1~3,1~3,4~8,never,1,1,0,0,0,2,2,3,0,1,3,1,2,-0.8202006487909644,-1.6044734198306354
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,46,Single,1,Some college - no degree,Sales & Related,$37500 - $49999,never,less1,1~3,1~3,1~3,0,0,0,0,0,1,2,2,2,6,3,2,1,-0.7097556717794983,0.2165321638395899
Home,Alone,Sunny,55,6PM,1d,Female,46,Single,1,Some college - no degree,Sales & Related,$37500 - $49999,never,less1,1~3,1~3,1~3,0,0,1,0,0,1,2,2,2,6,3,2,1,-0.7097556717794983,0.2165321638395899
Work,Alone,Sunny,55,7AM,1d,Female,46,Single,1,Some college - no degree,Sales & Related,$37500 - $49999,never,less1,1~3,1~3,1~3,1,1,0,0,0,1,2,2,2,6,3,2,1,-0.7097556717794983,0.2165321638395899
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,1~3,4~8,gt8,1~3,1~3,0,0,0,1,2,3,4,2,2,2,4,2,0,1.6999773535436964,-1.2150372335504307
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,1~3,4~8,gt8,1~3,1~3,1,0,0,1,2,3,4,2,2,2,4,2,0,1.6999773535436964,-1.2150372335504307
Home,Alone,Sunny,55,6PM,1d,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,1~3,4~8,gt8,1~3,1~3,0,0,1,1,2,3,4,2,2,2,4,2,0,1.6999773535436964,-1.2150372335504307
Work,Alone,Sunny,55,7AM,1d,Male,26,Unmarried partner,0,Some college - no degree,Sales & Related,$50000 - $62499,1~3,4~8,gt8,1~3,1~3,1,1,0,0,2,3,4,2,2,2,4,2,0,1.6999773535436964,-1.2150372335504307
No Urgent Place,Partner,Sunny,80,10AM,2h,Male,41,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,1~3,less1,1~3,1~3,less1,0,0,0,1,2,1,2,2,1,5,4,2,1,-0.47743875708401357,-0.11520250315815778
No Urgent Place,Partner,Sunny,80,6PM,1d,Male,41,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,1~3,less1,1~3,1~3,less1,1,0,0,1,2,1,2,2,1,5,4,2,1,-0.47743875708401357,-0.11520250315815778
Home,Alone,Sunny,55,6PM,1d,Male,41,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,1~3,less1,1~3,1~3,less1,0,0,1,1,2,1,2,2,1,5,4,2,1,-0.47743875708401357,-0.11520250315815778
Work,Alone,Sunny,55,7AM,1d,Male,41,Married partner,1,Some college - no degree,Computer & Mathematical,$50000 - $62499,1~3,less1,1~3,1~3,less1,1,1,0,1,2,1,2,2,1,5,4,2,1,-0.47743875708401357,-0.11520250315815778
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,50plus,Widowed,1,High School Graduate,Retired,$12500 - $24999,never,less1,1~3,4~8,less1,0,0,0,1,0,1,2,3,1,7,1,1,1,-0.8901434377584981,-0.5485394815586927
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Widowed,1,High School Graduate,Retired,$12500 - $24999,never,less1,1~3,4~8,less1,0,0,1,1,0,1,2,3,1,7,1,1,1,-0.8901434377584981,-0.5485394815586927
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Widowed,1,High School Graduate,Retired,$12500 - $24999,never,less1,1~3,4~8,less1,1,1,0,1,0,1,2,3,1,7,1,1,1,-0.8901434377584981,-0.5485394815586927
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$87500 - $99999,less1,gt8,4~8,1~3,less1,1,0,0,0,1,4,3,2,1,4,7,4,3,0.9827703455113463,0.98567789101931
Home,Alone,Sunny,55,6PM,1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$87500 - $99999,less1,gt8,4~8,1~3,less1,0,0,1,0,1,4,3,2,1,4,7,4,3,0.9827703455113463,0.98567789101931
Work,Alone,Sunny,55,7AM,1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$87500 - $99999,less1,gt8,4~8,1~3,less1,1,1,0,0,1,4,3,2,1,4,7,4,3,0.9827703455113463,0.98567789101931
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,46,Single,0,Some college - no degree,Sales & Related,$25000 - $37499,never,never,1~3,less1,less1,0,0,0,0,0,0,2,1,1,6,2,2,1,-2.213232714801986,-0.010667574010972456
Home,Alone,Sunny,55,6PM,1d,Female,46,Single,0,Some college - no degree,Sales & Related,$25000 - $37499,never,never,1~3,less1,less1,0,0,1,0,0,0,2,1,1,6,2,2,1,-2.213232714801986,-0.010667574010972456
Work,Alone,Sunny,55,7AM,1d,Female,46,Single,0,Some college - no degree,Sales & Related,$25000 - $37499,never,never,1~3,less1,less1,1,1,0,0,0,0,2,1,1,6,2,2,1,-2.213232714801986,-0.010667574010972456
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Male,46,Married partner,1,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,less1,1~3,1~3,less1,1~3,1,0,0,0,1,2,2,1,2,6,7,5,3,-0.14767761891174713,2.3133060274012096
Home,Alone,Sunny,55,6PM,1d,Male,46,Married partner,1,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,less1,1~3,1~3,less1,1~3,0,0,1,1,1,2,2,1,2,6,7,5,3,-0.14767761891174713,2.3133060274012096
Work,Alone,Sunny,55,7AM,1d,Male,46,Married partner,1,Graduate degree (Masters or Doctorate),Management,$87500 - $99999,less1,1~3,1~3,less1,1~3,1,1,0,0,1,2,2,1,2,6,7,5,3,-0.14767761891174713,2.3133060274012096
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,50plus,Unmarried partner,1,Some college - no degree,Retired,$37500 - $49999,never,1~3,less1,1~3,1~3,0,0,0,0,0,2,1,2,2,7,3,2,1,-0.8543567535277022,0.49448844379609563
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Retired,$37500 - $49999,never,1~3,less1,1~3,1~3,1,0,0,0,0,2,1,2,2,7,3,2,1,-0.8543567535277022,0.49448844379609563
Home,Alone,Sunny,55,6PM,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Retired,$37500 - $49999,never,1~3,less1,1~3,1~3,0,0,1,0,0,2,1,2,2,7,3,2,1,-0.8543567535277022,0.49448844379609563
Work,Alone,Sunny,55,7AM,1d,Female,50plus,Unmarried partner,1,Some college - no degree,Retired,$37500 - $49999,never,1~3,less1,1~3,1~3,1,1,0,1,0,2,1,2,2,7,3,2,1,-0.8543567535277022,0.49448844379609563
No Urgent Place,Partner,Sunny,80,10AM,2h,Female,31,Unmarried partner,0,Bachelors degree,Legal,$100000 or More,never,less1,less1,1~3,1~3,0,0,0,0,0,1,1,2,2,3,8,4,3,-0.6332670961694901,1.8002164489901071
No Urgent Place,Partner,Sunny,80,6PM,1d,Female,31,Unmarried partner,0,Bachelors degree,Legal,$100000 or More,never,less1,less1,1~3,1~3,1,0,0,0,0,1,1,2,2,3,8,4,3,-0.6332670961694901,1.8002164489901071
Home,Alone,Sunny,55,6PM,1d,Female,31,Unmarried partner,0,Bachelors degree,Legal,$100000 or More,never,less1,less1,1~3,1~3,0,0,1,0,0,1,1,2,2,3,8,4,3,-0.6332670961694901,1.8002164489901071
Work,Alone,Sunny,55,7AM,1d,Female,31,Unmarried partner,0,Bachelors degree,Legal,$100000 or More,never,less1,less1,1~3,1~3,1,1,0,0,0,1,1,2,2,3,8,4,3,-0.6332670961694901,1.8002164489901071
No Urgent Place,Kid(s),Sunny,80,10AM,1d,Female,36,Married partner,1,Some college - no degree,Construction & Extraction,$12500 - $24999,never,1~3,1~3,less1,less1,1,0,0,0,0,2,2,1,1,4,1,2,2,-1.5583354936274096,-0.8846598252017235
Home,Alone,Sunny,55,6PM,1d,Female,36,Married partner,1,Some college - no degree,Construction & Extraction,$12500 - $24999,never,1~3,1~3,less1,less1,0,0,1,0,0,2,2,1,1,4,1,2,2,-1.5583354936274096,-0.8846598252017235
Work,Alone,Sunny,55,7AM,1d,Female,36,Married partner,1,Some college - no degree,Construction & Extraction,$12500 - $24999,never,1~3,1~3,less1,less1,1,1,0,0,0,2,2,1,1,4,1,2,2,-1.5583354936274096,-0.8846598252017235
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,1~3,1~3,1~3,0,0,0,1,1,1,2,2,2,1,8,4,3,0.20997749269680402,1.0684964168148714
Home,Alone,Sunny,55,6PM,1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,1~3,1~3,1~3,0,0,1,1,1,1,2,2,2,1,8,4,3,0.20997749269680402,1.0684964168148714
Work,Alone,Sunny,55,7AM,1d,Female,21,Single,0,Bachelors degree,Arts Design Entertainment Sports & Media,$100000 or More,less1,less1,1~3,1~3,1~3,1,1,0,1,1,1,2,2,2,1,8,4,3,0.20997749269680402,1.0684964168148714
No Urgent Place,Friend(s),Sunny,80,10AM,1d,Male,31,Single,0,High School Graduate,Computer & Mathematical,$25000 - $37499,less1,never,1~3,less1,never,0,0,0,0,1,0,2,1,0,3,2,1,2,-2.4058709808360974,-1.3645503533163537
Home,Alone,Sunny,55,6PM,1d,Male,31,Single,0,High School Graduate,Computer & Mathematical,$25000 - $37499,less1,never,1~3,less1,never,0,0,1,1,1,0,2,1,0,3,2,1,2,-2.4058709808360974,-1.3645503533163537
